gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4101309489	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA1356B1074D60FEE4FB225095.mc.3B393CF11356B1044E02F983FC6553B7	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene bucculenta		SPECIES	Pseudonannolene bucculenta Iniesta, Bouzan & Brescovit, 2023	Pseudonannolene bucculenta Iniesta, Bouzan, and Brescovit 2023	Iniesta, Bouzan, and Brescovit 2023	BR	Samuel de Paula	Minas Gerais	PRESENT	2	a064f300-1bc8-41ea-9364-b864ef4e8938	-20.001055	-43.871086			975.0				2006-10		10	2006	12224748	12224748	MATERIAL_CITATION	IBSP		IBSP 3424				CC0_1_0		de Paula & J. P. P. Pena-Barbosa			2025-11-08T05:37:41.629Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101309485	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA135DB10F4D7BFD90FCFD50D3.mc.3B393CF1135DB10F4FBCFC7EFD9456CD	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene brevis		SPECIES	Pseudonannolene brevis Silvestri, 1902	Pseudonannolene brevis Silvestri 1902	Silvestri 1902	BR	Urucum	Mato Grosso do Sul	PRESENT	1	a064f300-1bc8-41ea-9364-b864ef4e8938	-19.200684	-57.6							1900-10-20	20	10	1900	1026414	1026414	MATERIAL_CITATION	USNM		USNM 2021				CC0_1_0		A. Borelli	Syntype		2025-11-08T05:37:41.609Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101309483	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA1369B13C4D45F916FC1A53ED.mc.3B393CF11368B13A4CA1F939FCE5522D	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene tricolor		SPECIES	Pseudonannolene tricolor Brölemann, 1902	Pseudonannolene tricolor Brolemann 1902	Brolemann 1902	BR	Pocos de Caldas	Minas Gerais	PRESENT	1	a064f300-1bc8-41ea-9364-b864ef4e8938	-21.797215	-46.559998			1216.0								1026426	1026426	MATERIAL_CITATION	IBSP		IBSP 7885				CC0_1_0					2025-11-08T05:37:41.581Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101309482	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA130DB1214D53FA08FE5057D0.mc.3B393CF1130CB15E4FBCFDC3FC0E5752	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene occidentalis		SPECIES	Pseudonannolene occidentalis Schubart, 1958	Pseudonannolene occidentalis Schubart 1958	Schubart 1958	BR	BRAZIL	Mato Grosso do Sul	PRESENT	4	a064f300-1bc8-41ea-9364-b864ef4e8938	-20.187515	-56.547016			112.0				1955-01-22	22	1	1955	6186007	6186007	MATERIAL_CITATION	MZSP						CC0_1_0		L. Travassos	Paratype		2025-11-08T05:37:41.541Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101309481	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA1369B13C4D45F916FC1A53ED.mc.3B393CF1136FB13D4E84FD3FFAFE57D3	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene tricolor		SPECIES	Pseudonannolene tricolor Brölemann, 1902	Pseudonannolene tricolor Brolemann 1902	Brolemann 1902	BR	Fazenda Ponte Alta	Sao Paulo	PRESENT	1	a064f300-1bc8-41ea-9364-b864ef4e8938	-22.69015	-46.682655			767.0				1949-12		12	1949	1026426	1026426	MATERIAL_CITATION	MZSP						CC0_1_0		J. Schubart			2025-11-08T05:37:41.537Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101309480	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA1373B1234D42FCF9FB915768.mc.3B393CF11372B1204D23FE55FAED54ED	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene ophiiulus		SPECIES	Pseudonannolene ophiiulus Schubart, 1944	Pseudonannolene ophiiulus Schubart 1944	Schubart 1944	BR	Fazenda Pedra Branca	Sao Paulo	PRESENT	1	a064f300-1bc8-41ea-9364-b864ef4e8938									1944-03-30	30	3	1944	6185999	6185999	MATERIAL_CITATION	MZSP						CC0_1_0		J. Gaspar			2025-11-08T05:37:41.535Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101309479	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA1315B1484D45F9EEFC01571A.mc.3B393CF11314B1464A17FA0BFC94531B	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene halophila		SPECIES	Pseudonannolene halophila Schubart, 1949	Pseudonannolene halophila Schubart 1949	Schubart 1949	BR	Vale do Rio Jurubatuba	Sao Paulo	PRESENT	1	a064f300-1bc8-41ea-9364-b864ef4e8938	-23.876179	-46.305065			201.0				2007-03		3	2007	6186012	6186012	MATERIAL_CITATION	IBSP		IBSP 3154				CC0_1_0					2025-11-08T05:37:41.507Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101309478	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA137CB1304EACFD5CFB445752.mc.3B393CF11363B1314C87FE30FD945727	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene sebastianus		SPECIES	Pseudonannolene sebastianus Brölemann, 1902	Pseudonannolene sebastianus Brolemann 1902	Brolemann 1902	BR	Ilha Anchieta	Sao Paulo	PRESENT	1	a064f300-1bc8-41ea-9364-b864ef4e8938	-23.550426	-45.066635			162.0				2001-07-23	23	7	2001	6186003	6186003	MATERIAL_CITATION	IBSP		IBSP 1411				CC0_1_0		Equipe Biota			2025-11-08T05:37:41.505Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101309476	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA135AB10B4D12FBEDFA895350.mc.3B393CF1135AB1084CB7F93CFE2F5233	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene insularis		SPECIES	Pseudonannolene insularis Iniesta, Bouzan & Brescovit, 2023	Pseudonannolene insularis Iniesta, Bouzan, and Brescovit 2023	Iniesta, Bouzan, and Brescovit 2023	BR	Ilha Prumirim	Sao Paulo	PRESENT	2	a064f300-1bc8-41ea-9364-b864ef4e8938	-23.385244	-44.944145			75.0				1994-09-02	2	9	1994	12196671	12196671	MATERIAL_CITATION	IBSP		IBSP 1231				CC0_1_0		C. F. Vieira & A. Eterovic			2025-11-08T05:37:41.485Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101309475	1d2570da-e150-4d75-94d8-bfc5813062bc	03F887BA1315B1484D45F9EEFC01571A.mc.3B393CF1131BB1494C65FE9FFB36548E	Animalia	Arthropoda	Diplopoda	Spirostreptida	Pseudonannolenidae	Pseudonannolene	Pseudonannolene halophila		SPECIES	Pseudonannolene halophila Schubart, 1949	Pseudonannolene halophila Schubart 1949	Schubart 1949	BR	Paranapua	Sao Paulo	PRESENT	3	a064f300-1bc8-41ea-9364-b864ef4e8938	-20.105474	-50.586006			474.0				1960-11-01	1	11	1960	6186012	6186012	MATERIAL_CITATION	MZSP						CC0_1_0		O. Schubart & O. Schubart Filho			2025-11-08T05:37:41.479Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
