species,decimalLongitude,decimalLatitude
Lithobates catesbeianus,-121.748195,38.537768
Lithobates catesbeianus,-159.365512,21.969106
Lithobates catesbeianus,-74.450867,42.660542
Lithobates catesbeianus,-80.858427,40.796745
Lithobates catesbeianus,-81.353864,28.846651
Lithobates catesbeianus,-85.803554,38.078653
Lithobates catesbeianus,-83.244694,43.112301
Lithobates catesbeianus,-121.792236,39.76239
Lithobates catesbeianus,-73.987525,42.653258
Lithobates catesbeianus,-91.59182,33.622348
Lithobates catesbeianus,-76.429462,35.457871
Lithobates catesbeianus,-90.682755,42.572987
Lithobates catesbeianus,-95.921464,41.238214
Lithobates catesbeianus,-72.261624,41.955954
Lithobates catesbeianus,-122.060833,36.956481
Lithobates catesbeianus,-82.619737,34.798133
Lithobates catesbeianus,-78.764219,33.80329
Lithobates catesbeianus,-76.494624,37.216154
Lithobates catesbeianus,-74.20532,41.082558
Lithobates catesbeianus,-80.780395,35.464787
Lithobates catesbeianus,-76.56343,35.466468
Lithobates catesbeianus,-71.258818,42.152145
Lithobates catesbeianus,-77.490998,34.562944
Lithobates catesbeianus,-87.139861,36.937182
Lithobates catesbeianus,-82.815474,27.991851
Lithobates catesbeianus,-122.918171,47.47674
Lithobates catesbeianus,-75.547707,38.23317
Lithobates catesbeianus,-64.793341,44.253141
Lithobates catesbeianus,-92.854716,34.633812
Lithobates catesbeianus,-77.024018,38.656772
Lithobates catesbeianus,-74.482961,40.398425
Lithobates catesbeianus,-76.040705,36.957398
Lithobates catesbeianus,-104.765276,39.967559
Lithobates catesbeianus,-80.626534,34.075687
Lithobates catesbeianus,-74.019169,41.771281
Lithobates catesbeianus,-81.14605,33.293287
Lithobates catesbeianus,-78.393796,37.530066
Lithobates catesbeianus,-86.842272,33.125745
Lithobates catesbeianus,-84.249519,39.131299
Lithobates catesbeianus,-76.618212,37.402512
Lithobates catesbeianus,-83.830733,40.599725
Lithobates catesbeianus,-79.562379,34.815338
Lithobates catesbeianus,-116.652994,33.044314
Lithobates catesbeianus,-87.049582,39.554192
Lithobates catesbeianus,-75.724316,41.396473
Lithobates catesbeianus,-117.843758,33.664744
Lithobates catesbeianus,-73.771,40.686489
Lithobates catesbeianus,-82.006958,29.687697
Lithobates catesbeianus,-93.791572,41.793808
Lithobates catesbeianus,-95.466492,29.028406
Lithobates catesbeianus,-79.5667,34.955155
Lithobates catesbeianus,-84.150155,34.24038
Lithobates catesbeianus,-87.079849,36.287913
Lithobates catesbeianus,-81.84685,41.362084
Lithobates catesbeianus,-96.196005,33.10815
Lithobates catesbeianus,-87.365339,36.732803
Lithobates catesbeianus,-87.389762,36.775748
Lithobates catesbeianus,-81.120367,35.962263
Lithobates catesbeianus,-78.226853,34.314747
Lithobates catesbeianus,-94.681857,33.742132
Lithobates catesbeianus,-84.511029,38.021999
Lithobates catesbeianus,-123.379668,44.492892
Lithobates catesbeianus,-79.039774,35.786861
Lithobates catesbeianus,-121.753206,37.664622
Lithobates catesbeianus,-96.545922,28.956988
Lithobates catesbeianus,-123.339276,44.314613
Lithobates catesbeianus,-106.861811,33.812763
Lithobates catesbeianus,-96.154319,33.265258
Lithobates catesbeianus,-77.188309,37.335509
Lithobates catesbeianus,-80.474656,34.729912
Lithobates catesbeianus,-81.028489,34.969013
Lithobates catesbeianus,-97.149117,33.245299
Lithobates catesbeianus,-86.142442,42.798695
Lithobates catesbeianus,-79.023827,36.010399
Lithobates catesbeianus,-81.48033,30.31066
Lithobates catesbeianus,-122.381287,46.922831
Lithobates catesbeianus,-92.040055,30.202888
Lithobates catesbeianus,-79.49688,37.073806
Lithobates catesbeianus,-122.932511,45.109958
Lithobates catesbeianus,-121.053153,38.931388
Lithobates catesbeianus,-122.75827,45.477347
Lithobates catesbeianus,-78.8778,37.913713
Lithobates catesbeianus,-123.247839,44.785847
Lithobates catesbeianus,-123.312675,44.646394
Lithobates catesbeianus,-122.9785,44.001878
Lithobates catesbeianus,-96.360157,30.603122
Lithobates catesbeianus,-123.379782,44.712527
Lithobates catesbeianus,-117.20765,46.45285
Lithobates catesbeianus,-96.961519,35.366797
Lithobates catesbeianus,-95.730119,29.56711
Lithobates catesbeianus,-77.285355,38.937
Lithobates catesbeianus,-73.890487,40.893365
Lithobates catesbeianus,-117.715571,34.111465
Lithobates catesbeianus,-97.599308,30.326189
Lithobates catesbeianus,-81.05213,31.957271
Lithobates catesbeianus,-82.854667,34.7436
Lithobates catesbeianus,-122.436647,48.788869
Lithobates catesbeianus,-123.27514,44.743844
Lithobates catesbeianus,-122.177483,37.381487
Lithobates catesbeianus,-95.3917,29.714063
Lithobates catesbeianus,-122.192657,47.95824
Lithobates catesbeianus,-123.357717,44.774051
Lithobates catesbeianus,-82.736236,28.176428
Lithobates catesbeianus,-89.508525,43.084389
Lithobates catesbeianus,-84.266472,34.362495
Lithobates catesbeianus,-119.853724,36.773944
Lithobates catesbeianus,-87.601269,41.404081
Lithobates catesbeianus,-76.845275,39.166972
Lithobates catesbeianus,-81.579625,41.187768
Lithobates catesbeianus,-110.805733,32.324813
Lithobates catesbeianus,-88.051507,41.819937
Lithobates catesbeianus,-124.22435,49.298578
Lithobates catesbeianus,-123.2343,44.662513
Lithobates catesbeianus,-81.976224,33.487194
Lithobates catesbeianus,-86.318594,39.080211
Lithobates catesbeianus,-88.029125,42.250249
