species,decimalLongitude,decimalLatitude
Lithobates catesbeianus,-85.874484,41.942541
Lithobates catesbeianus,-77.661972,39.700909
Lithobates catesbeianus,-122.188521,38.384732
Lithobates catesbeianus,-87.25975,31.001076
Lithobates catesbeianus,-83.021782,39.856417
Lithobates catesbeianus,-74.450867,42.660542
Lithobates catesbeianus,-80.858427,40.796745
Lithobates catesbeianus,-81.353864,28.846651
Lithobates catesbeianus,-85.803554,38.078653
Lithobates catesbeianus,-83.244694,43.112301
Lithobates catesbeianus,-121.792236,39.76239
Lithobates catesbeianus,-91.59182,33.622348
Lithobates catesbeianus,-76.429462,35.457871
Lithobates catesbeianus,-90.682755,42.572987
Lithobates catesbeianus,-95.921464,41.238214
Lithobates catesbeianus,-72.261624,41.955954
Lithobates catesbeianus,-74.478841,40.404439
Lithobates catesbeianus,-82.619737,34.798133
Lithobates catesbeianus,-78.764219,33.80329
Lithobates catesbeianus,-87.878067,41.708572
Lithobates catesbeianus,-76.494624,37.216154
Lithobates catesbeianus,-81.378674,40.878302
Lithobates catesbeianus,-80.780395,35.464787
Lithobates catesbeianus,-76.56343,35.466468
Lithobates catesbeianus,-71.258818,42.152145
Lithobates catesbeianus,-77.490998,34.562944
Lithobates catesbeianus,-122.177381,40.324847
Lithobates catesbeianus,-71.700032,45.686129
Lithobates catesbeianus,-87.139861,36.937182
Lithobates catesbeianus,-97.276992,30.112403
Lithobates catesbeianus,-82.815474,27.991851
Lithobates catesbeianus,-122.918171,47.47674
Lithobates catesbeianus,-75.547707,38.23317
Lithobates catesbeianus,-78.767058,35.613737
Lithobates catesbeianus,-64.793341,44.253141
Lithobates catesbeianus,-86.933777,40.452707
Lithobates catesbeianus,-92.854716,34.633812
Lithobates catesbeianus,-77.024018,38.656772
Lithobates catesbeianus,-104.765276,39.967559
Lithobates catesbeianus,-80.626534,34.075687
Lithobates catesbeianus,-74.019169,41.771281
Lithobates catesbeianus,-94.545816,29.613364
Lithobates catesbeianus,-81.14605,33.293287
Lithobates catesbeianus,-78.393796,37.530066
Lithobates catesbeianus,-76.618212,37.402512
Lithobates catesbeianus,-83.830733,40.599725
Lithobates catesbeianus,-79.562379,34.815338
Lithobates catesbeianus,-116.652994,33.044314
Lithobates catesbeianus,-87.049582,39.554192
Lithobates catesbeianus,-75.724316,41.396473
Lithobates catesbeianus,-93.792358,41.785775
Lithobates catesbeianus,-73.771,40.686489
Lithobates catesbeianus,-82.006958,29.687697
Lithobates catesbeianus,-92.10768,35.488995
Lithobates catesbeianus,-95.466492,29.028406
Lithobates catesbeianus,-79.5667,34.955155
Lithobates catesbeianus,-97.633164,30.401245
Lithobates catesbeianus,-86.843637,33.126653
Lithobates catesbeianus,-75.033331,40.347655
Lithobates catesbeianus,-78.968003,35.967438
Lithobates catesbeianus,-80.996631,28.576552
Lithobates catesbeianus,-84.150155,34.24038
Lithobates catesbeianus,-87.079849,36.287913
Lithobates catesbeianus,-96.196005,33.10815
Lithobates catesbeianus,-87.365339,36.732803
Lithobates catesbeianus,-87.389762,36.775748
Lithobates catesbeianus,-81.120367,35.962263
Lithobates catesbeianus,-78.226853,34.314747
Lithobates catesbeianus,-94.681857,33.742132
Lithobates catesbeianus,-84.511029,38.021999
Lithobates catesbeianus,-123.379668,44.492892
Lithobates catesbeianus,-79.039774,35.786861
Lithobates catesbeianus,-93.430289,41.794457
Lithobates catesbeianus,-122.455688,38.288555
Lithobates catesbeianus,-96.545922,28.956988
Lithobates catesbeianus,-123.339276,44.314613
Lithobates catesbeianus,-96.154319,33.265258
Lithobates catesbeianus,-95.48033,30.18428
Lithobates catesbeianus,-81.028846,34.969011
Lithobates catesbeianus,-80.474656,34.729912
Lithobates catesbeianus,-79.023827,36.010399
Lithobates catesbeianus,-88.738396,38.254337
Lithobates catesbeianus,-83.197,40.022993
Lithobates catesbeianus,-81.48033,30.31066
Lithobates catesbeianus,-122.381287,46.922831
Lithobates catesbeianus,-92.040055,30.202888
Lithobates catesbeianus,-122.696111,49.239253
Lithobates catesbeianus,-79.49688,37.073806
Lithobates catesbeianus,-121.053153,38.931388
Lithobates catesbeianus,-122.932517,45.109961
Lithobates catesbeianus,-122.75827,45.477347
Lithobates catesbeianus,-123.215792,44.617277
Lithobates catesbeianus,-78.8778,37.913713
Lithobates catesbeianus,-123.247839,44.785847
Lithobates catesbeianus,-123.379782,44.712527
Lithobates catesbeianus,-117.20765,46.45285
Lithobates catesbeianus,-122.03674,47.7095
Lithobates catesbeianus,-96.961519,35.366797
Lithobates catesbeianus,-95.913639,36.084094
Lithobates catesbeianus,-92.173429,33.064693
Lithobates catesbeianus,-95.730119,29.56711
Lithobates catesbeianus,-77.285355,38.937
Lithobates catesbeianus,-117.715571,34.111465
Lithobates catesbeianus,-97.599308,30.326189
Lithobates catesbeianus,-117.1236,33.021997
Lithobates catesbeianus,-81.05213,31.957271
Lithobates catesbeianus,-82.854667,34.7436
Lithobates catesbeianus,-123.27514,44.743844
Lithobates catesbeianus,-95.3917,29.714063
Lithobates catesbeianus,-122.192657,47.95824
Lithobates catesbeianus,-123.357717,44.774051
Lithobates catesbeianus,-96.253547,30.574362
Lithobates catesbeianus,-82.736236,28.176428
Lithobates catesbeianus,-89.508525,43.084389
Lithobates catesbeianus,-83.722442,41.719362
Lithobates catesbeianus,-84.266472,34.362495
Lithobates catesbeianus,-87.601269,41.404081
Lithobates catesbeianus,-76.845275,39.166972
Lithobates catesbeianus,-124.22435,49.298578
Lithobates catesbeianus,-123.2343,44.662513
Lithobates catesbeianus,-81.976224,33.487194
Lithobates catesbeianus,-86.318594,39.080211
Lithobates catesbeianus,-92.079749,33.133727
Lithobates catesbeianus,-91.809161,37.403564
Lithobates catesbeianus,-95.300853,30.030985
Lithobates catesbeianus,-76.573404,41.558908
Lithobates catesbeianus,-118.802192,36.1544
Lithobates catesbeianus,-83.956516,34.529598
Lithobates catesbeianus,-119.245895,35.305083
Lithobates catesbeianus,-99.606545,32.209808
Lithobates catesbeianus,-83.671511,42.311886
Lithobates catesbeianus,-82.740626,29.682673
Lithobates catesbeianus,-81.664622,41.430226
Lithobates catesbeianus,-77.588089,36.583481
Lithobates catesbeianus,-93.944295,30.586163
Lithobates catesbeianus,-95.594447,29.377558
Lithobates catesbeianus,-121.817995,38.017892
Lithobates catesbeianus,-120.521462,38.048808
Lithobates catesbeianus,-88.098311,42.317883
Lithobates catesbeianus,-72.891504,40.898464
Lithobates catesbeianus,-82.324203,29.643633
Lithobates catesbeianus,-94.182367,30.996714
Lithobates catesbeianus,-76.758202,42.443508
Lithobates catesbeianus,-122.130983,37.815284
Lithobates catesbeianus,-98.994894,38.81261
Lithobates catesbeianus,-90.690208,35.7869
